Location,Date,Temperature,Humidity
Mumbai,2021-05-02 09:50:43.941027,30.7,94.2
Mumbai,2021-05-02 09:50:46.200251,30.7,94.2
Mumbai,2021-05-02 09:50:48.459531,30.7,94.2
Mumbai,2021-05-02 09:50:50.718809,30.7,94.2
Mumbai,2021-05-02 09:50:52.978064,30.7,94.2
Mumbai,2021-05-02 09:50:55.237349,30.7,94.1
Mumbai,2021-05-02 09:50:57.496610,30.7,94.1
Mumbai,2021-05-02 09:50:59.755865,30.7,94.1
Mumbai,2021-05-02 09:51:02.015212,30.7,94.1
Mumbai,2021-05-02 09:51:04.274527,30.8,94.2
Mumbai,2021-05-02 09:51:06.533778,30.8,94.2
Mumbai,2021-05-02 09:51:08.792911,30.7,94.1
Mumbai,2021-05-02 09:51:11.052201,30.8,94.1
Mumbai,2021-05-02 09:51:13.311542,30.7,94.1
Mumbai,2021-05-02 09:51:15.570813,30.7,94.1
Mumbai,2021-05-02 09:51:17.830113,30.8,94.1
Mumbai,2021-05-02 09:51:20.089478,30.8,94.1
Mumbai,2021-05-02 09:51:22.348519,30.8,94.1
Mumbai,2021-05-02 09:51:24.607855,30.8,94.1
Mumbai,2021-05-02 09:51:26.867148,30.8,94.1
Mumbai,2021-05-02 09:51:29.126484,30.8,94.1
Mumbai,2021-05-02 09:51:31.385858,30.8,94.1
Mumbai,2021-05-02 09:51:33.645278,30.8,94.1
Mumbai,2021-05-02 09:51:35.904642,30.7,94.0
Mumbai,2021-05-02 09:51:38.164030,30.8,94.1
Mumbai,2021-05-02 09:51:40.423402,30.8,94.1
Mumbai,2021-05-02 09:51:42.682846,30.8,94.1
Mumbai,2021-05-02 09:51:44.942176,30.8,94.0
Mumbai,2021-05-02 09:51:47.201391,30.8,94.0
Mumbai,2021-05-02 09:51:49.460721,30.8,94.0
Mumbai,2021-05-02 09:51:51.720044,30.8,94.0
Mumbai,2021-05-02 09:51:53.979410,30.8,94.0
Mumbai,2021-05-02 09:51:56.238763,30.8,94.0
Mumbai,2021-05-02 09:51:58.498034,30.8,94.0
Mumbai,2021-05-02 09:52:00.757357,30.8,94.0
Mumbai,2021-05-02 09:52:03.016647,30.8,94.0
Mumbai,2021-05-02 09:52:05.275982,30.8,94.0
